#symbol	H1Rosa7_d0	H1Rosa7_d1	H1Rosa7_d2	H1Rosa7_d3	H1Rosa7_d4	H1Rosa7_d5	H1Rosa7_d6	H1Rosa7_d7	H1Rosa7_d8	H1Rosa7_d10	H1Rosa7_d12	H1Rosa7_d14	H1Rosa7_d16	H1Rosa7_d18	H1Rosa7_d20	H1Rosa7_d21	H1Rosa7_d22	H1Rosa7_d24	H1Rosa7_d26	H1Rosa7_d30	H1Rosa7_d32	H1Rosa7_d34	H1Rosa7_d36	H1Rosa7_d38	H1Rosa7_d40	H1Rosa7_d42
A1BG	7.22	4.54	6.54	2.84	0.76	8.03	9.28	2.84	3.12	0.99	13.06	10.99	6.96	12.93	25.31	12.04	0	3.42	6.56	11.12	4.51	5.49	8.78	6.13	16.3	15.48
A1CF	0	0	0.27	0	0	0	0	0.09	0	0	1.68	0.1	0.01	0	0	0	0	0	0.25	0.21	0	0	0	0	0	1.33
A2LD1	0	0.43	1.99	4.22	3.53	2.95	5.69	0.94	0.82	6.52	4.68	0	1.15	1.71	3.71	0	2.49	0	0.87	1.47	1.49	1.45	2.17	0	7.89	0
A2M	0	0	0	0	0	0	1.25	0	0	0	0	3.1	9.49	17.19	29.27	60.39	55.83	13.3	9.39	6.69	11.04	25.62	27.68	31.62	32.71	50.98
A2ML1	4.07	1.67	1.43	0.97	0.29	0	0.2	0	0.4	0	3.13	0	0.3	1.45	0.32	0	0	0	0	0	0.84	2.91	0	0	0	3.51
A4GALT	9.63	10.39	14.42	24.5	13.52	14.28	3.87	7.96	2.1	0	0	0	0	0.73	0	0.84	3.18	0	0	0	0	0	0	2.21	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12	0	0	0	0	0
AAAS	38.51	42.87	52.24	68.86	24.97	42.87	62.66	56.66	44.33	27.51	50.68	54.57	28.06	39.42	37.82	36.62	28.11	53.3	58.7	35.02	24.08	52.74	71.41	20.46	6.63	26.03
AACS	76.9	58.97	66.26	66.35	48.05	41.02	54.64	48.95	30.96	54.77	55.83	36.3	48.71	58.3	44.57	49.81	63.77	50	50.63	42.29	25.63	32.48	51.62	33.3	9.18	10.22
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	1.38	1.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0	0	0	0	0	0	1.77
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	5.53	9.99	7.24	15.43	16.77	12.4	8.31	22.25	12.51	22.42	30.21	42.12	29.04	21.57	26.11	15.93	11.49	45.75	29.28	17.66	20.49	14.68	30.12	34.39	12.72	26.35
