#symbol	mEpi_Sorted_d0	mEpi_d1	mEpi_d2	mEpi_d3	mEpi_d4	mEpi_d5	mEpi_d6	mEpi_d7	mEpi_d8	mEpi_d10	mEpi_d12	mEpi_d14	mEpi_d16	mEpi_d18	mEpi_d20	mEpi_d21
0610007P14Rik	54.94	87.37	141.93	159.91	84.01	64.65	89.98	109.08	76.82	122.07	148.69	133.32	144.78	118.74	103.38	92.54
0610009B22Rik	18.88	30.5	32.5	33.75	37.18	39.7	47.2	49.2	76.09	52.9	19.54	71.47	43.65	36.7	41.76	50.47
0610009D07Rik	75.64	59.97	75.37	78.29	78.1	46.98	99.38	72.75	117.92	81.11	68.22	75.63	64.96	90.04	87.39	49.49
0610009O20Rik	43.13	22.69	23.41	40.1	40.03	35.89	31.29	31.4	39.73	16.25	19.9	29.37	23.07	23.59	33.62	29.96
0610010F05Rik	39.13	39.91	44.82	40.56	60.05	48.33	101.02	114.33	169.05	176.96	160.52	132.1	102.39	112.42	62.76	67.27
0610010K14Rik	49.63	99.91	81.75	98.32	67.65	67.97	51.84	74.11	140.87	62.81	53.42	42.16	76.18	36.01	46.1	65.88
0610011F06Rik	14.61	10.05	2.23	2.8	17.33	16.76	43.83	11.93	33.28	4.72	16.8	9	13.85	7.74	8.29	3.85
0610012H03Rik	1.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	15.49	13.03	20.57	22.14	11	12.63	13.55	17.32	7.92	16.66	10.3	11.17	9.77	7.43	8.8	6.66
0610031J06Rik	12.05	9.1	2.67	10.06	10.06	9.39	8.13	5.86	11.27	6.71	11.37	8.37	9.36	13.83	8.67	10.22
0610037L13Rik	20.06	27.25	20.85	7.27	16.2	18.65	13.82	20.44	15.84	21.25	22.3	43.91	27.45	26.42	30.86	26.02
0610040J01Rik	0.45	0.48	0	0.6	0	0	0	2.05	4.76	2.7	2.41	6.18	0	0.48	0	7.17
1100001G20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110001A16Rik	22.57	10.81	17.87	34.04	34.81	26.1	16.11	20.22	47	16.37	28.91	25.74	29.76	38.53	54.48	32.48
1110001J03Rik	1.82	27.24	15.55	21.95	8.05	6.26	35.47	22.87	74.91	93.25	19.52	56.44	37.29	30.84	31.31	31.35
1110004E09Rik	99.11	59.33	49.79	51.57	70.41	53.43	41.04	51.57	49.13	44.61	47.63	73.95	109.71	134.82	153.77	197.57
1110004F10Rik	155.87	166.1	183.55	184.57	214.71	209.38	203.9	243.82	222.92	169.81	188.23	202.97	218.15	195.92	209.4	142.84
1110007C09Rik	40.32	11.35	6.8	5.69	8.22	0	0	2.43	0	8	9.49	27.44	12.8	9	15.46	11.76
1110008F13Rik	201.04	243.64	228.66	174.99	160.62	140.37	151.97	123.23	214.3	129.55	123.24	153.71	128.07	134.19	150.28	148.68
1110008J03Rik	9.08	7.54	2.28	12.18	6.51	11.03	8.81	16.49	11.36	22.56	19.11	19.34	12.89	9.06	3.54	7.89
1110008L16Rik	16.56	33.43	16.56	24	10.65	11.95	7.21	18.63	16.33	12.89	5.26	8.29	10.63	5.1	2.83	9.21
1110008P14Rik	13.88	6.75	5.39	16.92	8.38	8.68	24.6	44.71	40.23	34.24	49.65	17.4	45.65	56.16	53.46	37.27
1110012L19Rik	13.15	10.76	16.53	26.96	25.69	15.08	17.4	6.19	24.66	19.83	8.3	13.33	15.86	31.97	34.83	22.85
1110017D15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0.92	8.05	1.27	3.99
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	6.8	3.61	4.76	2.7	7.2	18.28	21.29	20.97	26.07	25.12	19.57	23.67	25	40.45	41.31	53.63
1110032F04Rik	0	0.35	0	0	4.66	2.23	2.92	6.67	15.5	15.15	19.13	16.2	16.41	14.08	15.02	10.37
1110034G24Rik	0.57	5.51	3.06	2.3	2.53	6.56	2.57	5.88	5.32	3.45	5.12	1.97	5.52	4.85	3.79	0.7
