Locus ID 	Symbol 
11538	Adnp
11568	Aebp1
11569	Aebp2
11614	Nr0b1
11622	Ahr
11624	Ahrr
11632	Aip
11634	Aire
11694	Alx3
11695	Alx4
11733	Ank1
11736	Ankfy1
11819	Nr2f2
11835	Ar
11859	Phox2a
11863	Arnt
11864	Arnt2
11865	Arntl
11878	Arx
11906	Atbf1
11908	Atf1
11909	Atf2
11910	Atf3
11911	Atf4
11920	Atm
11921	Atoh1
11922	Neurod6
11923	Neurod4
11924	Neurog2
11925	Neurog3
11991	Hnrpd
12013	Bach1
12014	Bach2
12020	Bapx1
12021	Bard1
12022	Barx1
12023	Barx2
12029	Bcl6b
12051	Bcl3
12053	Bcl6
12142	Prdm1
12151	Bmi1
12173	Bnc1
12180	Smyd1
12189	Brca1
12192	Zfp36l1
12224	Klf5
12265	C2ta
12326	Camk4
12355	Nr1i3
12387	Catnb
12393	Runx2
12394	Runx1
12395	Cbfa2t1h
12399	Runx3
12400	Cbfb
12416	Cbx2
12417	Cbx3
12418	Cbx4
12454	Ccnk
12455	Ccnt1
12566	Cdk2
12567	Cdk4
12572	Cdk7
12578	Cdkn2a
12579	Cdkn2b
12580	Cdkn2c
12581	Cdkn2d
12590	Cdx1
12591	Cdx2
12592	Cdx4
12606	Cebpa
12607	Cebpz
12608	Cebpb
12609	Cebpd
12611	Cebpg
12653	Chgb
12677	Chx10
12705	Cited1
12753	Clock
12785	Cnbp1
12848	Cops2
12912	Creb1
12913	Creb3
12914	Crebbp
12915	Crebl1
12916	Crem
12951	Crx
13017	Ctbp2
13018	Ctcf
13047	Cutl1
13048	Cutl2
13134	Dach1
13163	Daxx
13170	Dbp
13172	Dbx1
13180	Pcbd
13196	Ddef1
13198	Ddit3
13345	Twist2
13390	Dlx1
13392	Dlx2
13393	Dlx3
13394	Dlx4
13395	Dlx5
13396	Dlx6
13433	Dnmt1
13435	Dnmt3a
13486	Dr1
13494	Drg1
13496	Arid3a
13555	E2f1
13557	E2f3
13559	E2f5
13560	E4f1
13591	Ebf1
13592	Ebf2
13593	Ebf3
13626	Eed
13653	Egr1
13654	Egr2
13655	Egr3
13656	Egr4
13661	Ehf
13709	Elf1
13710	Elf3
13711	Elf5
13712	Elk1
13713	Elk3
13714	Elk4
13716	Ell
13796	Emx1
13797	Emx2
13798	En1
13799	En2
13813	Eomes
13819	Epas1
13864	Nr2f6
13865	Nr2f1
13871	Ercc2
13872	Ercc3
13875	Erf
13876	Erg
13982	Esr1
13983	Esr2
13984	Esx1
14008	Etsrp71
14009	Etv1
14011	Etv6
14013	Evi1
14025	Bcl11a
14028	Evx1
14029	Evx2
14030	Ewsh
14055	Ezh1
14056	Ezh2
14085	Fah
14105	Fusip1
14106	Foxh1
14154	Fem1a
14155	Fem1b
14200	Fhl2
14233	Foxi1
14234	Foxc2
14235	Foxm1
14236	Foxn2
14237	Foxd4
14238	Foxf2
14239	Fkhl18
14240	Foxb2
14241	Foxl1
14247	Fli1
14281	Fos
14282	Fosb
14283	Fosl1
14284	Fosl2
14359	Fxr1h
14390	Gabpa
14391	Gabpb1
14457	Gas7
14460	Gata1
14461	Gata2
14462	Gata3
14463	Gata4
14464	Gata5
14465	Gata6
14472	Gbx2
14489	Mtpn
14531	Gcm1
14534	Gcn5l2
14536	Nr6a1
14581	Gfi1
14582	Gfi1b
14605	Dsip1
14632	Gli
14633	Gli2
14634	Gli3
14659	Glrp1
14797	Aes
14815	Nr3c1
14836	Gsc
14842	Gsh1
14843	Gsh2
14884	Gtf2h1
14885	Gtf2h4
14886	Gtf2i
14896	Baz1a
14912	Nkx6-2
15110	Hand1
15111	Hand2
15161	Hcfc1
15163	Hcls1
15181	Hdac1
15182	Hdac2
15183	Hdac3
15184	Hdac5
15185	Hdac6
15193	Hdgfrp2
15205	Hes1
15206	Hes2
15207	Hes3
15208	Hes5
15209	Hesx1
15213	Hey1
15214	Hey2
15218	Foxn1
15220	Foxq1
15221	Foxd3
15223	Foxj1
15227	Foxf1a
15228	Foxg1
15229	Foxd1
15242	Hhex
15248	Hic1
15251	Hif1a
15258	Hipk2
15260	Hira
15273	Hivep2
15284	Hlx
15285	Hlxb9
15331	Hmgn2
15353	Hmg20b
15354	Hmgb3
15361	Hmga1
15364	Hmga2
15370	Nr4a1
15371	Hmx1
15372	Hmx2
15373	Hmx3
15375	Foxa1
15376	Foxa2
15377	Foxa3
15378	Hnf4
15379	Onecut1
15384	Hnrpab
15394	Hoxa1
15395	Hoxa10
15396	Hoxa11
15397	Hoxa11s
15398	Hoxa13
15399	Hoxa2
15400	Hoxa3
15401	Hoxa4
15402	Hoxa5
15403	Hoxa6
15404	Hoxa7
15405	Hoxa9
15407	Hoxb1
15408	Hoxb13
15410	Hoxb3
15412	Hoxb4
15413	Hoxb5
15414	Hoxb6
15415	Hoxb7
15416	Hoxb8
15417	Hoxb9
15421	Hoxc12
15422	Hoxc13
15423	Hoxc4
15424	Hoxc5
15425	Hoxc6
15426	Hoxc8
15427	Hoxc9
15429	Hoxd1
15430	Hoxd10
15431	Hoxd11
15432	Hoxd12
15433	Hoxd13
15434	Hoxd3
15436	Hoxd4
15437	Hoxd8
15438	Hoxd9
15460	hr
15499	Hsf1
15500	Hsf2
15563	Htr5a
15569	Elavl2
15900	Icsbp1
15901	Idb1
15902	Idb2
15903	Idb3
15904	Idb4
15951	Ifi16
15976	Ifnar2
16150	Ikbkb
16151	Ikbkg
16201	Ilf3
16348	Invs
16362	Irf1
16363	Irf2
16364	Irf4
16371	Irx1
16372	Irx2
16373	Irx3
16391	Isgf3g
16392	Isl1
16476	Jun
16477	Junb
16478	Jund1
16596	Klf1
16597	Klf12
16598	Klf2
16599	Klf3
16600	Klf4
16601	Bteb1
16656	Hivep3
16658	Mafb
16761	Labx
16764	Laf4
16814	Lbx1h
16815	Lbx2h
16825	Ldb1
16826	Ldb2
16842	Lef1
16869	Lhx1
16870	Lhx2
16871	Lhx3
16872	Lhx4
16873	Lhx5
16874	Lhx6
16875	Lhx8
16876	Lhx9
16909	Lmo2
16911	Lmo4
16917	Lmx1b
16918	Lmyc1
16969	Zbtb7
17095	Lyl1
17119	Mad
17121	Mad3
17122	Mad4
17125	Madh1
17126	Madh2
17127	Madh3
17128	Madh4
17129	Madh5
17130	Madh6
17131	Madh7
17132	Maf
17133	Maff
17134	Mafg
17135	Mafk
17172	Ascl1
17173	Ascl2
17187	Max
17188	Maz
17191	Mbd2
17192	Mbd3
17215	Mcm3
17216	Mcm2
17217	Mcm4
17218	Mcm5
17219	Mcm6
17220	Mcm7
17257	Mecp2
17258	Mef2a
17259	Mef2b
17260	Mef2c
17261	Mef2d
17268	Meis1
17274	Rab8a
17283	Men1
17285	Meox1
17286	Meox2
17300	Foxc1
17301	Foxd2
17318	Mid1
17341	Mist1
17342	Mitf
17344	Miz1
17354	Mllt10
17355	Mllt2h
17420	Mnat1
17425	Foxk1
17428	Mnt
17480	Mpl
17536	Mrg1
17537	Mrg2
17681	Msc
17684	Cited2
17692	Msl31
17701	Msx1
17702	Msx2
17703	Msx3
17749	Polr2k
17764	Mtf1
17765	Mtf2
17859	Mxi1
17863	Myb
17864	Mybl1
17865	Mybl2
17869	Myc
17870	Mycs
17876	Myef2
17877	Myf5
17878	Myf6
17927	Myod1
17928	Myog
17932	Myt1
17933	Myt1l
17936	Nab1
17937	Nab2
17938	Naca
17977	Ncoa1
17978	Ncoa2
17979	Ncoa3
17984	Ndn
18002	Nedd8
18012	Neurod1
18013	Neurod2
18014	Neurog1
18018	Nfatc1
18019	Nfatc2
18020	Nfatc2ip
18021	Nfatc3
18022	Nfe2
18023	Nfe2l1
18024	Nfe2l2
18025	Nfe2l3
18027	Nfia
18028	Nfib
18029	Nfic
18030	Nfil3
18032	Nfix
18033	Nfkb1
18034	Nfkb2
18036	Nfkbib
18037	Nfkbie
18038	Nfkbil1
18044	Nfya
18045	Nfyb
