symbol	function description	source	confidence code	Previous.Symbols	Synonyms
AATF	apoptosis antagonizing transcription factor	based on GO term	CC:1		DED, CHE-1, CHE1
ADNP	activity-dependent neuroprotector homeobox	based on GO term	CC:1		KIAA0784, ADNP1
ADNP2	ADNP homeobox 2	based on GO term	CC:1	ZNF508	KIAA0863
AEBP1	AE binding protein 1	based on GO term	CC:1		ACLP
AFF1	AF4/FMR2 family, member 1	based on GO term	CC:1	PBM1, MLLT2	AF-4, AF4
AFF4	AF4/FMR2 family, member 4	based on GO term	CC:1		AF5Q31, MCEF
AHR	aryl hydrocarbon receptor	based on GO term	CC:1		bHLHe76
ALS2CR8	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 8	based on GO term	CC:1		FLJ21579, CaRF, NYD-SP24
ALX1	ALX homeobox 1	based on GO term	CC:1	CART1	
ALX3	ALX homeobox 3	based on GO term	CC:1		
ALX4	ALX homeobox 4	based on GO term	CC:1	PFM2	FPP, PFM, KIAA1788
ANKRD30A	ankyrin repeat domain 30A	based on GO term	CC:1		NY-BR-1
AR	androgen receptor	based on GO term	CC:1	DHTR, SBMA	AIS, NR3C4, SMAX1, HUMARA
ARGFX	arginine-fifty homeobox	based on GO term	CC:1		
ARID3A	AT rich interactive domain 3A (BRIGHT-like)	based on GO term	CC:1	DRIL1	BRIGHT
ARID4A	AT rich interactive domain 4A (RBP1-like)	based on GO term	CC:1	RBBP1	RBP1, RBP-1
ARNT	aryl hydrocarbon receptor nuclear translocator	based on GO term	CC:1		HIF-1beta, bHLHe2
ARNT2	aryl-hydrocarbon receptor nuclear translocator 2	based on GO term	CC:1		KIAA0307, bHLHe1
ARNTL	aryl hydrocarbon receptor nuclear translocator-like	based on GO term	CC:1		MOP3, JAP3, BMAL1, PASD3, bHLHe5
ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	based on GO term	CC:1		BMAL2, MOP9, CLIF, PASD9, bHLHe6
ARX	aristaless related homeobox	based on GO term	CC:1	MRXS1, PRTS, MRX76, MRX54, MRX43, MRX36, MRX29, MRX32, MRX33, MRX38, MRX87	ISSX, CT121, EIEE1
ASCL1	achaete-scute complex homolog 1 (Drosophila)	based on GO term	CC:1		ASH1, HASH1, bHLHa46
ASCL2	achaete-scute complex homolog 2 (Drosophila)	based on GO term	CC:1		ASH2, HASH2, bHLHa45
ASH1L	ash1 (absent, small, or homeotic)-like (Drosophila)	based on GO term	CC:1		huASH1, ASH1, ASH1L1, KMT2H
ATF1	activating transcription factor 1	based on GO term	CC:1		TREB36
ATF2	activating transcription factor 2	based on GO term	CC:1	CREB2	TREB7, CRE-BP1, HB16
ATF3	activating transcription factor 3	based on GO term	CC:1		
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	based on GO term	CC:1	TXREB	TAXREB67, CREB-2
ATF5	activating transcription factor 5	based on GO term	CC:1		
ATF6	activating transcription factor 6	based on GO term	CC:1		ATF6A
ATF6B	activating transcription factor 6 beta	based on GO term	CC:1	CREBL1	G13
ATF7	activating transcription factor 7	based on GO term	CC:1		ATFA
ATOH1	atonal homolog 1 (Drosophila)	based on GO term	CC:1		HATH1, MATH-1, Math1, bHLHa14
BACH1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	based on GO term	CC:1		BACH-1
BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2	based on GO term	CC:1		
BARHL1	BarH-like homeobox 1	based on GO term	CC:1		
BARHL2	BarH-like homeobox 2	based on GO term	CC:1		
BARX1	BARX homeobox 1	based on GO term	CC:1		
BARX2	BARX homeobox 2	based on GO term	CC:1		
BATF	basic leucine zipper transcription factor, ATF-like	based on GO term	CC:1		B-ATF, SFA-2, BATF1
BATF2	basic leucine zipper transcription factor, ATF-like 2	based on GO term	CC:1		MGC20410
BATF3	basic leucine zipper transcription factor, ATF-like 3	based on GO term	CC:1		JUNDM1, SNFT, JDP1
BAZ1B	bromodomain adjacent to zinc finger domain, 1B	based on GO term	CC:1	WBSCR9, WBSCR10	WSTF
BCL3	B-cell CLL/lymphoma 3	based on GO term	CC:1	D19S37, BCL4	
BCL6	B-cell CLL/lymphoma 6	based on GO term	CC:1	ZNF51	ZBTB27, LAZ3, BCL5, BCL6A
BHLHE40	basic helix-loop-helix family, member e40	based on GO term	CC:1	STRA13, BHLHB2	DEC1, bHLHe40
BHLHE41	basic helix-loop-helix family, member e41	based on GO term	CC:1	BHLHB3	DEC2, SHARP-1, SHARP1, bHLHe41
BLZF1	basic leucine zipper nuclear factor 1	based on GO term	CC:1		JEM-1
BNC1	basonuclin 1	based on GO term	CC:1	BNC	HsT19447
BRD8	bromodomain containing 8	based on GO term	CC:1		SMAP, p120
BRF1	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)	based on GO term	CC:1	TAF3B2, TAF3C, GTF3B	TFIIIB90, BRF, hBRF
BSX	brain-specific homeobox	based on GO term	CC:1		BSX1
BTAF1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)	based on GO term	CC:1		TAFII170, TAF172, MOT1, TAF-172, TAF(II)170
BTF3	basic transcription factor 3	based on GO term	CC:1	NACB	BTF3a, BTF3b
BTF3L2	basic transcription factor 3, like 2	based on GO term	CC:1	NA	NA
BTF3L3	basic transcription factor 3, like 3	based on GO term	CC:1	NA	NA
BUD31	BUD31 homolog (S. cerevisiae)	based on GO term	CC:1		YCR063W, EDG-2, EDG2, G10, fSAP17
C11orf9	chromosome 11 open reading frame 9	based on GO term	CC:1		Ndt80
C21orf66	chromosome 21 open reading frame 66	based on GO term	CC:1	NA	NA
C2orf3	chromosome 2 open reading frame 3	based on GO term	CC:1	TCF9	DNABF, GCF
C5orf41	chromosome 5 open reading frame 41	based on GO term	CC:1		
CBFA2T2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	based on GO term	CC:1		MTGR1, ZMYND3
CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	based on GO term	CC:1		MTGR2, ZMYND4, MTG16
CBFB	core-binding factor, beta subunit	based on GO term	CC:1		PEBP2B
CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence	based on GO term	CC:1	CBL2	RNF55, c-Cbl
CCRN4L	CCR4 carbon catabolite repression 4-like (S. cerevisiae)	based on GO term	CC:1		CCR4L, CCR4
CDK12	cyclin-dependent kinase 12	based on GO term	CC:1	CRKRS	CRK7, CRKR, KIAA0904
CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	based on GO term	CC:1	CDKN2, MLM	CDK4I, p16, INK4a, MTS1, CMM2, ARF, p19, p14, INK4, p16INK4a, p19Arf
CDX1	caudal type homeobox 1	based on GO term	CC:1		
CDX2	caudal type homeobox 2	based on GO term	CC:1	CDX3	
CDX4	caudal type homeobox 4	based on GO term	CC:1		
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	based on GO term	CC:1	CEBP	C/EBP-alpha
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	based on GO term	CC:1	TCF5	LAP, CRP2, NFIL6, IL6DBP, C/EBP-beta
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	based on GO term	CC:1		CRP3, CELF, C/EBP-delta, NF-IL6-beta
CEBPE	CCAAT/enhancer binding protein (C/EBP), epsilon	based on GO term	CC:1		CRP1
