Human	Days 	20 	22 	24 	28 	30 	33 	36 	40 	42 	44 	48 	52 	54 	55 	58
Baboon 	Days 	23 	25 	27 	28 	29 	30 	31 	33 	35 	37 	39 	41 	43 	45 	47
Rhesus Monkey 	Days 	21 	22 	25 	28 	29 	30 	32 	34 	36 	37 	38 	40 	42 	44 	46
Marmoset 	Days 	57 		60 		64 		67 				74 				
Mouse 	Days	9	9.5	10	10.5	11	11.5	12 	12.5	13	13.5	14	14.5	15	15.5 	16
Rat 	Days 	10.5 	11 	11.5 	12 	12.5 	13 	13.5 	14 	14.5 	15 	15.5 	16 	16.5 	17 	17.5
Chinese Hamster 	Days 	10 	10.5 	11 	11.5 	12 	12.5 	13 	13.5 	14 	14.5 	15 	15.5 	16 	16.5 	17
Guinea Pig 	Days 	14.5 	15 	15.5 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	29
Rabbit 	Days 	8 	8.5 	9.5 	10.5 	11 	12 	12.5 	13.5 	14 	14.5 	15.5 	16 	16.5 	17 	18
Sheep 	Days 	15 	16 	17.5 	18.5 	19.5 	20.5 	22 	23 	24.5 	25.5 	27.5 	29.5 	30 	33 	
Pig 	Days 	14 	15 	16 	17 	18 	19 	20.5 	21.5 	23 	24 	25.5 	27.5 	29 	30.5 	32.5
Chicken  	Days 	1 	1.5 	2 	2.25 	2.5 	3 	3.25 	3.75 	4.75 	5.5 	6.25 	7.25 	7.75 	8.5 	10
Dog 	Days 						27 	28 	29 	30 	34 	36 	37 			


