Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein (linked to MSKCC Mapback)	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
10257	ABCC4	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"	"NM_001105515, NM_005845"	"NP_001098985.1, NP_005836.2"	ENSG00000125257	chr13:94471829 - 94751569	"15-hydroxyprostaglandin dehydrogenase (NAD+) activity;ATP binding;ATPase activity;ATPase activity, coupled to transmembrane movement of substances;biological_process;cellular_component;chloride channel activity;integral to membrane;ion transport;membrane fraction;nucleotide binding;plasma membrane;platelet dense granule membrane"	Entrez Query:Oncogene
10152	ABI2	abl interactor 2	NM_005759	NP_005750.4	ENSG00000138443	chr2:203901482 - 204000320	actin polymerization and/or depolymerization;biological_process;cell migration;cytoplasm;cytoskeletal adaptor activity;cytoskeleton;cytoskeleton organization and biogenesis;DNA binding;filopodium;kinase binding;lamellipodium;molecular_function;nucleus;SH3 domain binding;SH3/SH2 adaptor activity	"Stability, Entrez Query:Oncogene"
25	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	"NM_007313, NM_005157"	"NP_009297.2, NP_005148.2"	ENSG00000097007	chr9:132579527 - 132750891	"actin cytoskeleton organization and biogenesis;ATP binding;biological_process;cell adhesion;cellular_component;cytoplasm;cytoskeleton;DNA binding;DNA damage response, signal transduction resulting in induction of apoptosis;intracellular signaling cascade;magnesium ion binding;manganese ion binding;mismatch repair;molecular_function;nucleotide binding;nucleus;peptidyl-tyrosine phosphorylation;protein C-terminus binding;protein modification process;protein-tyrosine kinase activity;regulation of progression th"	"Alpha6Beta4 Integrin, Kit Receptor, Futreal et al 2004, Mitelman 2000, Vogelstein and Kinzler 2004, Protein Kinase, Stability, Tumor Suppressor, Tyrosine Kinase, Entrez Query:Oncogene, Translocation"
27	ABL2	"v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)"	"NM_005158, NM_001100108, NM_007314"	"NP_005149.3, NP_001093578.1, NP_009298.1"		chr1:177343475 - 177378802	ATP binding;cell adhesion;cytoplasm;cytoskeleton;intracellular signaling cascade;magnesium ion binding;manganese ion binding;nucleotide binding;peptidyl-tyrosine phosphorylation;phosphoinositide 3-kinase complex;phosphoinositide 3-kinase regulator activity;protein binding;protein modification process;protein-tyrosine kinase activity;transferase activity	"Futreal et al 2004, Mitelman 2000, Protein Kinase, Tyrosine Kinase, Entrez Query:Oncogene, Translocation"
60	ACTB	"actin, beta"	NM_001101	NP_001092.1	ENSG00000075624	chr7:5533904 - 5535814	ATP binding;cell motility;cytoplasm;cytoskeleton;cytosol;NuA4 histone acetyltransferase complex;nucleotide binding;protein binding;sensory perception of sound;soluble fraction;structural constituent of cytoskeleton	Entrez Query:Oncogene
4299	AFF1	"AF4/FMR2 family, member 1"	NM_005935	NP_005926.1	ENSG00000172493	chr4:88147583 - 88275877	nucleus;transcription factor activity	"Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
3899	AFF3	"AF4/FMR2 family, member 3"	"NM_001025108, NM_002285"	"NP_001020279.1, NP_002276.2"	ENSG00000144218	chr2:99534367 - 100087348	"DNA binding;multicellular organismal development;nucleus;regulation of transcription, DNA-dependent;transcription"	"Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
11214	AKAP13	A kinase (PRKA) anchor protein 13	"NM_144767, NM_007200, NM_006738"	"NP_658913.1, NP_009131.2, NP_006729.4"	ENSG00000170776	chr15:83829955 - 84088912	diacylglycerol binding;guanyl-nucleotide exchange factor activity;intracellular;intracellular signaling cascade;membrane;membrane fraction;metal ion binding;nucleus;receptor activity;regulation of Rho protein signal transduction;Rho guanyl-nucleotide exchange factor activity;signal transducer activity;zinc ion binding	"Protein Kinase, Entrez Query:Oncogene"
57016	AKR1B10	"aldo-keto reductase family 1, member B10 (aldose reductase)"	NM_020299	NP_064695.3	ENSG00000198074	chr7:133863203 - 133876381	aldehyde metabolic process;aldo-keto reductase activity;cellular_component;digestion;oxidoreductase activity;steroid metabolic process	"Stability, Tumor Suppressor, Entrez Query:Oncogene"
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	NM_001014431	NP_005154.2	ENSG00000142208	chr14:104307722 - 104330025	anagen;apoptosis;apoptotic mitochondrial changes;ATP binding;carbohydrate metabolic process;cytoplasm;G-protein coupled receptor protein signaling pathway;germ cell development;glucose metabolic process;glucose transport;glycogen biosynthetic process;identical protein binding;inflammatory response;insulin receptor signaling pathway;insulin-like growth factor receptor signaling pathway;lamellipodium;nitric oxide biosynthetic process;nucleotide binding;nucleus;peptidyl-serine phosphorylation;protein amino aci	"Alpha6Beta4 Integrin, Androgen Receptor, EGFR1, Kit Receptor, TNF_alpha_NF_kB, Wnt, Hahn and Weinberg 2002, Protein Kinase, Stability, Tumor Suppressor, Entrez Query:Oncogene"
208	AKT2	v-akt murine thymoma viral oncogene homolog 2	NM_001626	NP_001617.1	ENSG00000105221	chr19:45431618 - 45463014	ATP binding;lamellipodium;nucleotide binding;protein amino acid phosphorylation;protein binding;protein modification process;protein serine/threonine kinase activity;regulation of JNK cascade;transferase activity	"TNF_alpha_NF_kB, Futreal et al 2004, Vogelstein and Kinzler 2004, Protein Kinase, Entrez Query:Oncogene, Amplification"
10000	AKT3	"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"	"NM_005465, NM_181690"	"NP_005456.1, NP_859029.1"	ENSG00000117020	chr1:241735173 - 242073095	ATP binding;nucleotide binding;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;signal transduction;transferase activity	"Protein Kinase, Entrez Query:Oncogene"
56899	ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B	"NM_181670, NM_152788, NM_020140"	"NP_858056.2, NP_690001.3, NP_064525.1"	ENSG00000185046	chr12:97653468 - 98902146		Entrez Query:Oncogene
302	ANXA2	annexin A2	"NM_001002858, NM_004039"	"NP_001002858.1, NP_004030.1"	ENSG00000182718	chr15:58427120 - 58477404	calcium ion binding;calcium-dependent phospholipid binding;cytoskeletal protein binding;phospholipase inhibitor activity;plasma membrane;skeletal development;soluble fraction	"Stability, Entrez Query:Oncogene"
369	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	NM_001654	NP_001645.1	ENSG00000078061	chrX:47307310 - 47315800	ATP binding;cellular_component;diacylglycerol binding;intracellular signaling cascade;metal ion binding;nucleotide binding;protein amino acid phosphorylation;protein binding;protein modification process;protein serine/threonine kinase activity;receptor signaling protein activity;transferase activity;zinc ion binding	"EGFR1, Entrez Query:Oncogene"
7984	ARHGEF5	Rho guanine nucleotide exchange factor (GEF) 5	NM_005435	NP_005426.2	ENSG00000050327	chr7:143690695 - 143708082	GTP binding;guanyl-nucleotide exchange factor activity;intracellular;protein binding;regulation of Rho protein signal transduction;Rho guanyl-nucleotide exchange factor activity	Entrez Query:Oncogene
466	ATF1	activating transcription factor 1	NM_005171	NP_005162.1	ENSG00000123268	chr12:49460195 - 49499829	"nucleus;protein dimerization activity;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription factor activity"	"EGFR1, Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
558	AXL	AXL receptor tyrosine kinase	"NM_001699, NM_021913"	"NP_001690.2, NP_068713.2"	ENSG00000167601	chr19:46417137 - 46457649	ATP binding;integral to plasma membrane;membrane;nucleotide binding;protein amino acid phosphorylation;receptor activity;regulation of progression through cell cycle;signal transduction;transferase activity;transmembrane receptor protein tyrosine kinase activity	"Protein Kinase, Tyrosine Kinase, Entrez Query:Oncogene"
60468	BACH2	"BTB and CNC homology 1, basic leucine zipper transcription factor 2"	NM_021813	NP_068585.1	ENSG00000112182	chr6:90698847 - 90775284	"nucleus;protein binding;protein dimerization activity;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription factor activity"	Entrez Query:Oncogene
572	BAD	BCL2-antagonist of cell death	NM_004322	NP_116784.1	ENSG00000002330	chr11:63794256 - 63808416	apoptotic program;cytoplasm;glucose catabolic process;glucose homeostasis;induction of apoptosis by extracellular signals;mitochondrial outer membrane;mitochondrion;positive regulation of B cell differentiation;positive regulation of T cell differentiation;protein binding;regulation of apoptosis	"Protein Kinase, Entrez Query:Oncogene"
573	BAG1	BCL2-associated athanogene	NM_004323	NP_004314.4	ENSG00000107262	chr9:33245216 - 33254672	anti-apoptosis;apoptosis;cell surface receptor linked signal transduction;cytoplasm;nucleus;protein binding;protein folding;protein modification process;receptor signaling protein activity	"Androgen Receptor, Entrez Query:Oncogene"
581	BAX	BCL2-associated X protein	"NM_138763, NM_004324, NM_138764, NM_138761, NM_138765"	"NP_620118.1, NP_004315.1, NP_620119.1, NP_620116.1, NP_620120.1"	ENSG00000087088	chr19:54149997 - 54156166	apoptosis;apoptotic mitochondrial changes;B cell apoptosis;B cell homeostatic proliferation;BH3 domain binding;caspase activation;caspase activation via cytochrome c;cell cycle;cellular_component;cleavage of lamin;cytoplasm;cytosol;cytosolic part;DNA fragmentation during apoptosis;endoplasmic reticulum;endoplasmic reticulum membrane;establishment and/or maintenance of transmembrane electrochemical gradient;germ cell development;induction of apoptosis;induction of apoptosis by extracellular signals;induction	"Hahn and Weinberg 2002, Vogelstein and Kinzler 2004, Tumor Suppressor, Entrez Query:Oncogene"
