	Entrez Gene ID	Current Symbol	Refseq Transcript	Description
1	39	ACAT2	NM_005891	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)
2	292	SLC25A5	NM_001152	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"
3	332	BIRC5	NM_001012271 NM_001168 NM_001012270	baculoviral IAP repeat-containing 5 (survivin)
4	387	RHOA	NM_001664	"ras homolog gene family, member A"
5	472	ATM	NM_000051 NM_138292	"ataxia telangiectasia mutated (includes complementation groups A, C and D)"
6	545	ATR	XM_001131387 NM_001184	ataxia telangiectasia and Rad3 related
7	595	CCND1	NM_053056	cyclin D1
8	672	BRCA1	NM_007300 NM_007297 NM_007304 NM_007294 NM_007296 NM_007299 NM_007303 NM_007302 NM_007295 NM_007298 NM_007305	"breast cancer 1, early onset"
9	675	BRCA2	NM_000059	"breast cancer 2, early onset"
10	699	BUB1	NM_004336	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
11	701	BUB1B	NM_001211	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)
12	801	CALM1	NM_006888	"calmodulin 1 (phosphorylase kinase, delta)"
13	890	CCNA2	NM_001237	cyclin A2
14	891	CCNB1	NM_031966	cyclin B1
15	892	CCNC	NM_005190 NM_001013399	cyclin C
16	894	CCND2	NM_001759	cyclin D2
17	896	CCND3	NM_001760	cyclin D3
18	898	CCNE1	NM_057182 NM_001238	cyclin E1
19	899	CCNF	NM_001761	cyclin F
20	900	CCNG1	NM_199246 NM_004060	cyclin G1
21	901	CCNG2	NM_004354	cyclin G2
22	902	CCNH	NM_001239	cyclin H
23	904	CCNT1	NM_001240	cyclin T1
24	905	CCNT2	NM_058241 NM_001241	cyclin T2
25	928	CD9	NM_001769	CD9 molecule
26	983	CDC2	NM_001786 NM_033379	"cell division cycle 2, G1 to S and G2 to M"
27	991	CDC20	NM_001255	cell division cycle 20 homolog (S. cerevisiae)
28	993	CDC25A	NM_201567 NM_001789	cell division cycle 25 homolog A (S. pombe)
29	994	CDC25B	NM_021872 NM_021873 NM_004358	cell division cycle 25 homolog B (S. pombe)
30	995	CDC25C	NM_001790 NM_022809	cell division cycle 25 homolog C (S. pombe)
31	996	CDC27	NM_001256	cell division cycle 27 homolog (S. cerevisiae)
32	999	CDH1	NM_004360	"cadherin 1, type 1, E-cadherin (epithelial)"
33	1017	CDK2	NM_001798 NM_052827	cyclin-dependent kinase 2
34	1018	CDK3	NM_001258	cyclin-dependent kinase 3
35	1019	CDK4	NM_000075	cyclin-dependent kinase 4
36	1020	CDK5	NM_004935	cyclin-dependent kinase 5
37	1021	CDK6	NM_001259	cyclin-dependent kinase 6
38	1022	CDK7	NM_001799	"cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)"
39	1024	CDK8	NM_001260	cyclin-dependent kinase 8
40	1025	CDK9	NM_001261	cyclin-dependent kinase 9 (CDC2-related kinase)
41	1026	CDKN1A	NM_078467 NM_000389	"cyclin-dependent kinase inhibitor 1A (p21, Cip1)"
42	1027	CDKN1B	NM_004064	"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"
43	1028	CDKN1C	NM_000076	"cyclin-dependent kinase inhibitor 1C (p57, Kip2)"
44	1029	CDKN2A	NM_000077 NM_058195 NM_058197	"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)"
45	1030	CDKN2B	NM_004936 NM_078487	"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)"
46	1031	CDKN2C	NM_001262 NM_078626	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"
47	1032	CDKN2D	NM_079421 NM_001800	"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)"
48	1033	CDKN3	NM_005192	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
49	1062	CENPE	NM_001813	"centromere protein E, 312kDa"
50	1063	CENPF	NM_016343	"centromere protein F, 350/400ka (mitosin)"
51	1068	CETN1	NM_004066	"centrin, EF-hand protein, 1"
52	1069	CETN2	NM_004344	"centrin, EF-hand protein, 2"
53	1070	CETN3	NM_004365	"centrin, EF-hand protein, 3 (CDC31 homolog, yeast)"
54	1072	CFL1	NM_005507	cofilin 1 (non-muscle)
55	1073	CFL2	NM_138638 NM_021914	cofilin 2 (muscle)
56	1111	CHEK1	NM_001274	CHK1 checkpoint homolog (S. pombe)
57	1112	FOXN3	NM_005197 NM_001085471	forkhead box N3
58	1163	CKS1B	NM_001826	CDC28 protein kinase regulatory subunit 1B
59	1164	CKS2	NM_001827	CDC28 protein kinase regulatory subunit 2
60	1432	MAPK14	NM_139012 NM_139014 NM_139013 NM_001315	mitogen-activated protein kinase 14
61	1434	CSE1L	NM_001316	CSE1 chromosome segregation 1-like (yeast)
62	1622	DBI	NM_001079863 NM_001079862 NM_020548	"diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)"
63	1647	GADD45A	NM_001924	"growth arrest and DNA-damage-inducible, alpha"
64	1841	DTYMK	NM_012145	deoxythymidylate kinase (thymidylate kinase)
65	1894	ECT2	NM_018098	epithelial cell transforming sequence 2 oncogene
66	2023	ENO1	NM_001428	"enolase 1, (alpha)"
67	2091	FBL	NM_001436	fibrillarin
68	2146	EZH2	NM_004456 NM_152998	enhancer of zeste homolog 2 (Drosophila)
69	2224	FDPS	NM_002004	"farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)"
70	2316	FLNA	NM_001456	"filamin A, alpha (actin binding protein 280)"
71	2317	FLNB	NM_001457	"filamin B, beta (actin binding protein 278)"
72	2597	GAPDH	NM_002046	glyceraldehyde-3-phosphate dehydrogenase
73	2810	SFN	NM_006142	stratifin
74	3014	H2AFX	NM_002105	"H2A histone family, member X"
75	3015	H2AFZ	NM_002106	"H2A histone family, member Z"
76	3148	HMGB2	NM_002129	high-mobility group box 2
77	3151	HMGN2	NM_005517	high-mobility group nucleosomal binding domain 2
78	3161	HMMR	NM_012485 NM_012484	hyaluronan-mediated motility receptor (RHAMM)
79	3184	HNRPD	NM_002138 NM_031369 NM_001003810 NM_031370	"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)"
80	3251	HPRT1	NM_000194	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)
81	3329	HSPD1	NM_199440 NM_002156	heat shock 60kDa protein 1 (chaperonin)
82	3364	HUS1	NM_004507	HUS1 checkpoint homolog (S. pombe)
83	3397	ID1	NM_002165 NM_181353	"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"
84	3619	INCENP	NM_020238 NM_001040694	inner centromere protein antigens 135/155kDa
